"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Probable Pitcher","Batting Order"
"20271-12477","P","Chris","Chris Sale","Sale","52.904761904761905","21","12000","KAN@BOS","BOS","KAN","","","",""
"20271-13627","P","Corey","Corey Kluber","Kluber","48.0625","16","11900","CLE@CWS","CLE","CWS","","","Yes",""
"20271-5481","P","Max","Max Scherzer","Scherzer","51","21","11800","COL@WAS","WAS","COL","","","",""
"20271-5522","P","Zack","Zack Greinke","Greinke","38","21","10200","ARI@STL","ARI","STL","","","Yes",""
"20271-10978","P","Stephen","Stephen Strasburg","Strasburg","38.4","20","10200","COL@WAS","WAS","COL","DL","Elbow","",""
"20271-5369","P","Jon","Jon Lester","Lester","32.36363636363637","22","10000","CHC@MIL","CHC","MIL","","","",""
"20271-6266","P","Carlos","Carlos Carrasco","Carrasco","37","20","9700","CLE@CWS","CLE","CWS","","","",""
"20271-16931","P","Yu","Yu Darvish","Darvish","34.90909090909091","22","9500","BAL@TEX","TEX","BAL","","","",""
"20271-5784","P","David","David Price","Price","32.81818181818182","11","9500","KAN@BOS","BOS","KAN","DL","Elbow","",""
"20271-12306","P","Jake","Jake Arrieta","Arrieta","27.166666666666668","24","9400","CHC@MIL","CHC","MIL","","","",""
"20271-17064","P","Sonny","Sonny Gray","Gray","33.875","16","9300","MIN@OAK","OAK","MIN","","","",""
"20271-53029","P","Robbie","Robbie Ray","Ray","39.4","20","9200","ARI@STL","ARI","STL","DTD","Head","",""
"20271-60647","P","Aaron","Aaron Nola","Nola","37.625","16","9000","ATL@PHI","PHI","ATL","","","",""
"20271-39686","P","Carlos","Carlos Martinez","Martinez","37","21","8900","ARI@STL","STL","ARI","","","",""
"20271-63827","P","Zack","Zack Godley","Godley","33.86666666666667","15","8700","ARI@STL","ARI","STL","","","",""
"20271-16956","P","Gerrit","Gerrit Cole","Cole","29.545454545454547","22","8700","PIT@SDP","PIT","SDP","","","",""
"20271-21099","P","Jose","Jose Quintana","Quintana","32.61904761904762","21","8700","CHC@MIL","CHC","MIL","","","",""
"20271-5320","P","Gio","Gio Gonzalez","Gonzalez","36.666666666666664","21","8600","COL@WAS","WAS","COL","","","",""
"20271-38161","P","Chase","Chase Anderson","Anderson","31.9375","16","8600","CHC@MIL","MIL","CHC","DL","Oblique","",""
"20271-38164","P","Jimmy","Jimmy Nelson","Nelson","36.23809523809524","21","8600","CHC@MIL","MIL","CHC","","","",""
"20271-5525","P","Cole","Cole Hamels","Hamels","27.181818181818183","11","8600","BAL@TEX","TEX","BAL","","","",""
