"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Probable Pitcher","Batting Order"
"20170-17005","P","Chase","Chase Whitley","Whitley","6.214285714285714","28","5500","TEX@TAM","TAM","TEX","","","",""
"20170-17011","P","Jumbo","Jumbo Diaz","Diaz","3.967741935483871","31","5500","TEX@TAM","TAM","TEX","","","",""
"20170-5752","P","Junichi","Junichi Tazawa","Tazawa","3.8275862068965516","29","5500","MIA@CIN","MIA","CIN","","","",""
"20170-52857","P","Kyle","Kyle Ryan","Ryan","0.625","8","5500","DET@MIN","DET","MIN","","","",""
"20170-52860","P","Erik","Erik Goeddel","Goeddel","4.181818181818182","11","5500","OAK@NYM","NYM","OAK","","","",""
"20170-70271","P","Carlos","Carlos Estevez","Estevez","4.611111111111111","18","5500","PIT@COL","COL","PIT","","","",""
"20170-12929","P","Jordan","Jordan Lyles","Lyles","3.90625","32","5500","PIT@COL","COL","PIT","","","",""
"20170-52865","P","Corey","Corey Knebel","Knebel","7.553191489361702","47","5500","MIL@PHI","MIL","PHI","","","",""
"20170-42626","P","Brian","Brian Flynn","Flynn","7.111111111111111","36","5500","CWS@KAN","KAN","CWS","","","",""
"20170-21126","P","Bruce","Bruce Rondon","Rondon","4.615384615384615","13","5500","DET@MIN","DET","MIN","","","",""
"20170-62087","P","Miguel","Miguel Castro","Castro","5.277777777777778","18","5500","HOU@BAL","BAL","HOU","","","",""
"20170-52874","P","Leonel","Leonel Campos","Campos","8.333333333333334","6","5500","TOR@CLE","TOR","CLE","DL","Groin","",""
"20170-17036","P","Dan","Dan Otero","Otero","4.484848484848484","33","5500","TOR@CLE","CLE","TOR","","","",""
"20170-52877","P","Dominic","Dominic Leone","Leone","6.621621621621622","37","5500","TOR@CLE","TOR","CLE","","","",""
"20170-52879","P","Ryan","Ryan Dull","Dull","4.444444444444445","18","5500","OAK@NYM","OAK","NYM","DL","Knee","",""
"20170-17054","P","Cody","Cody Allen","Allen","5.897435897435898","39","5500","TOR@CLE","CLE","TOR","","","",""
"20170-17065","P","Blake","Blake Treinen","Treinen","3.8536585365853657","41","5500","OAK@NYM","OAK","NYM","","","",""
"20170-80567","P","Nik","Nik Turley","Turley","-0.6666666666666666","3","5500","DET@MIN","MIN","DET","","","",""
"20170-72377","P","James","James Hoyt","Hoyt","6.709677419354839","31","5500","HOU@BAL","HOU","BAL","","","",""
"20170-72379","P","Danny","Danny Barnes","Barnes","6.45945945945946","37","5500","TOR@CLE","TOR","CLE","","","",""
"20170-80570","P","Jimmy","Jimmy Yacabonis","Yacabonis","3.5","4","5500","HOU@BAL","BAL","HOU","","","",""
"20170-53953","P","Keone","Keone Kela","Kela","7.096774193548387","31","5500","TEX@TAM","TEX","TAM","","","",""
"20170-5829","P","Matt","Matt Belisle","Belisle","3.65","40","5500","DET@MIN","MIN","DET","","","",""
"20170-17094","P","Jake","Jake Diekman","Diekman","4.545454545454546","66","5500","TEX@TAM","TEX","TAM","DL","Abdomen","",""
"20170-80582","P","Brandon","Brandon Woodruff","Woodruff","0","0","5500","MIL@PHI","MIL","PHI","DL","Hamstring","",""
"20170-5834","P","Joaquin","Joaquin Benoit","Benoit","4.439024390243903","41","5500","MIL@PHI","PHI","MIL","","","",""
"20170-17100","P","Jeurys","Jeurys Familia","Familia","4.7272727272727275","11","5500","OAK@NYM","NYM","OAK","DL","Shoulder","",""
"20170-17101","P","Josh","Josh Edgin","Edgin","3.272727272727273","44","5500","OAK@NYM","NYM","OAK","","","",""
"20170-54989","P","Odrisamer","Odrisamer Despaigne","Despaigne","7","2","5500","MIA@CIN","MIA","CIN","","","",""
"20170-5843","P","Jerry","Jerry Blevins","Blevins","4.520833333333333","48","5500","OAK@NYM","NYM","OAK","","","",""
"20170-17109","P","Oliver","Oliver Drake","Drake","4.466666666666667","45","5500","MIL@PHI","MIL","PHI","","","",""
"20170-14039","P","Addison","Addison Reed","Reed","5.533333333333333","45","5500","OAK@NYM","NYM","OAK","","","",""
"20170-21210","P","Mychal","Mychal Givens","Givens","7.238095238095238","42","5500","HOU@BAL","BAL","HOU","","","",""
"20170-21211","P","Mike","Mike Wright","Wright","9.166666666666666","6","5500","HOU@BAL","BAL","HOU","","","",""
"20170-14047","P","Brad","Brad Boxberger","Boxberger","7","7","5500","TEX@TAM","TAM","TEX","","","",""
"20170-14049","P","Bryan","Bryan Shaw","Shaw","4.829787234042553","47","5500","TOR@CLE","CLE","TOR","","","",""
"20170-17123","P","Chris","Chris Rusin","Rusin","6.8","35","5500","PIT@COL","COL","PIT","","","",""
"20170-53990","P","Shawn","Shawn Armstrong","Armstrong","5.25","16","5500","TOR@CLE","CLE","TOR","","","",""
"20170-17133","P","A.J.","A.J. Schugel","Schugel","8.4","5","5500","PIT@COL","PIT","COL","","","",""
"20170-52977","P","Ken","Ken Giles","Giles","5.184210526315789","38","5500","HOU@BAL","HOU","BAL","","","",""
"20170-62196","P","Roberto","Roberto Osuna","Osuna","6.390243902439025","41","5500","TOR@CLE","TOR","CLE","","","",""
"20170-17143","P","AJ","AJ Ramos","Ramos","5.631578947368421","38","5500","MIA@CIN","MIA","CIN","","","",""
"20170-71421","P","Donnie","Donnie Hart","Hart","4.303030303030303","33","5500","HOU@BAL","BAL","HOU","","","",""
"20170-5892","P","Bartolo","Bartolo Colon","Colon","12.357142857142858","14","5500","DET@MIN","MIN","DET","","","",""
"20170-13068","P","Danny","Danny Farquhar","Farquhar","4.54054054054054","37","5500","TEX@TAM","TAM","TEX","","","",""
"20170-68370","P","Tony","Tony Barnette","Barnette","4.769230769230769","26","5500","TEX@TAM","TEX","TAM","","","",""
"20170-13078","P","Brad","Brad Brach","Brach","5.595238095238095","42","5500","HOU@BAL","BAL","HOU","","","",""
"20170-53021","P","Nick","Nick Wittgren","Wittgren","5.861111111111111","36","5500","MIA@CIN","MIA","CIN","","","",""
"20170-53025","P","Logan","Logan Verrett","Verrett","14","4","5500","HOU@BAL","BAL","HOU","","","",""
"20170-53045","P","Scott","Scott Oberg","Oberg","3.3636363636363638","44","5500","PIT@COL","COL","PIT","","","",""
"20170-13116","P","Jeff","Jeff Locke","Locke","12.428571428571429","7","5500","MIA@CIN","MIA","CIN","","","",""
"20170-13118","P","Justin","Justin Wilson","Wilson","6.384615384615385","39","5500","DET@MIN","DET","MIN","","","",""
"20170-14143","P","Jared","Jared Hughes","Hughes","4.5813953488372094","43","5500","MIL@PHI","MIL","PHI","","","",""
"20170-5967","P","Jason","Jason Grilli","Grilli","4.033333333333333","30","5500","TEX@TAM","TEX","TAM","","","",""
"20170-62297","P","Tyler","Tyler Olson","Olson","0","1","5500","TOR@CLE","CLE","TOR","","","",""
"20170-70510","P","Zach","Zach Neal","Neal","5.833333333333333","6","5500","OAK@NYM","OAK","NYM","","","",""
"20170-70514","P","Warwick","Warwick Saupold","Saupold","7.090909090909091","22","5500","DET@MIN","DET","MIN","","","",""
"20170-68469","P","Adam","Adam Plutko","Plutko","5.5","2","5500","TOR@CLE","CLE","TOR","","","",""
"20170-15225","P","Liam","Liam Hendriks","Hendriks","5.255813953488372","43","5500","OAK@NYM","OAK","NYM","","","",""
"20170-68474","P","Josh","Josh Hader","Hader","8.727272727272727","11","5500","MIL@PHI","MIL","PHI","","","",""
"20170-11132","P","Travis","Travis Wood","Wood","4","27","5500","CWS@KAN","KAN","CWS","","","Yes",""
"20170-68476","P","Taylor","Taylor Rogers","Rogers","4.5813953488372094","43","5500","DET@MIN","MIN","DET","","","",""
"20170-68480","P","Jake","Jake Thompson","Thompson","3","3","5500","MIL@PHI","PHI","MIL","","","",""
"20170-6018","P","Wade","Wade LeBlanc","LeBlanc","6.194444444444445","36","5500","PIT@COL","PIT","COL","","","",""
"20170-68484","P","Chad","Chad Kuhl","Kuhl","19.333333333333332","21","5500","PIT@COL","PIT","COL","","","",""
"20170-13192","P","Tony","Tony Watson","Watson","4.681818181818182","44","5500","PIT@COL","PIT","COL","","","",""
"20170-15242","P","Xavier","Xavier Cedeno","Cedeno","1.4285714285714286","7","5500","TEX@TAM","TAM","TEX","DL","Forearm","",""
"20170-12180","P","Blake","Blake Wood","Wood","5.146341463414634","41","5500","MIA@CIN","CIN","MIA","","","",""
"20170-80790","P","Michael","Michael Brady","Brady","7.428571428571429","7","5500","OAK@NYM","OAK","NYM","","","",""
"20170-6052","P","Dustin","Dustin McGowan","McGowan","6.918918918918919","37","5500","MIA@CIN","MIA","CIN","","","",""
"20170-12198","P","Drew","Drew Storen","Storen","4.7073170731707314","41","5500","MIA@CIN","CIN","MIA","","","",""
"20170-6057","P","Andrew","Andrew Miller","Miller","8.414634146341463","41","5500","TOR@CLE","CLE","TOR","","","",""
"20170-70568","P","Dayan","Dayan Diaz","Diaz","6.6","10","5500","HOU@BAL","HOU","BAL","","","",""
"20170-70576","P","Ashur","Ashur Tolliver","Tolliver","8","3","5500","HOU@BAL","HOU","BAL","","","",""
"20170-68530","P","Jarlin","Jarlin Garcia","Garcia","3.116279069767442","43","5500","MIA@CIN","MIA","CIN","","","",""
"20170-70578","P","Cody","Cody Reed","Reed","9","7","5500","MIA@CIN","CIN","MIA","","","",""
"20170-52152","P","Robert","Robert Stephenson","Stephenson","7.5","14","5500","MIA@CIN","CIN","MIA","","","",""
"20170-70585","P","Richard","Richard Bleier","Bleier","5.178571428571429","28","5500","HOU@BAL","BAL","HOU","","","",""
"20170-70584","P","Ryan","Ryan Garton","Garton","4","7","5500","TEX@TAM","TAM","TEX","","","",""
"20170-68540","P","Rookie","Rookie Davis","Davis","12","5","5500","MIA@CIN","CIN","MIA","","","",""
"20170-64446","P","Kyle","Kyle Barraclough","Barraclough","5.565217391304348","46","5500","MIA@CIN","MIA","CIN","","","",""
"20170-6081","P","Pat","Pat Neshek","Neshek","5.9523809523809526","42","5500","MIL@PHI","PHI","MIL","","","",""
"20170-52163","P","Miguel","Miguel Almonte","Almonte","-1.5","2","5500","CWS@KAN","KAN","CWS","","","",""
"20170-68553","P","Chih-Wei","Chih-Wei Hu","Hu","12","4","5500","TEX@TAM","TAM","TEX","","","",""
"20170-13258","P","Wily","Wily Peralta","Peralta","12.235294117647058","17","5500","MIL@PHI","MIL","PHI","DL","Calf","",""
"20170-79825","P","Sal","Sal Romano","Romano","15","3","5500","MIA@CIN","CIN","MIA","","","Yes",""
"20170-5074","P","Tyler","Tyler Clippard","Clippard","4.365853658536586","41","5500","CWS@KAN","CWS","KAN","","","",""
"20170-13270","P","Blaine","Blaine Hardy","Hardy","2.9130434782608696","23","5500","DET@MIN","DET","MIN","","","",""
"20170-80856","P","Luke","Luke Farrell","Farrell","-1","1","5500","CWS@KAN","KAN","CWS","","","",""
"20170-62426","P","Josh","Josh Smith","Smith","3.5","18","5500","OAK@NYM","OAK","NYM","","","",""
"20170-6107","P","Glen","Glen Perkins","Perkins","4.5","2","5500","DET@MIN","MIN","DET","DL","Shoulder","",""
"20170-12256","P","Fernando","Fernando Salas","Salas","3.9285714285714284","42","5500","OAK@NYM","NYM","OAK","","","",""
"20170-12257","P","Adam","Adam Ottavino","Ottavino","4.230769230769231","39","5500","PIT@COL","COL","PIT","","","",""
"20170-70629","P","Jacob","Jacob Barnes","Barnes","5.195652173913044","46","5500","MIL@PHI","MIL","PHI","","","",""
"20170-15336","P","Kelvin","Kelvin Herrera","Herrera","4.425","40","5500","CWS@KAN","KAN","CWS","","","",""
"20170-79848","P","Paul","Paul Sewald","Sewald","6.090909090909091","33","5500","OAK@NYM","NYM","OAK","","","",""
"20170-68592","P","Francis","Francis Martes","Martes","17.3","10","5500","HOU@BAL","HOU","BAL","","","",""
"20170-79124","P","Joe","Joe Jimenez","Jimenez","2","5","5300","DET@MIN","DET","MIN","","","",""
"20170-13229","OF","Charlie","Charlie Blackmon","Blackmon","14.290816326530612","98","5100","PIT@COL","COL","PIT","","","",""
"20170-13719","3B","Nolan","Nolan Arenado","Arenado","13.27525722857603","97","4800","PIT@COL","COL","PIT","","","",""
"20170-5456","OF","Andrew","Andrew McCutchen","McCutchen","12.017894222861843","95","4600","PIT@COL","PIT","COL","","","",""
"20170-12302","OF","Giancarlo","Giancarlo Stanton","Stanton","12.869148416722075","94","4300","MIA@CIN","MIA","CIN","","","",""
"20170-16983","OF","George","George Springer","Springer","14.356044224330358","91","4200","HOU@BAL","HOU","BAL","","","",""
