"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Probable Pitcher","Batting Order"
"20238-52859","P","Jacob","Jacob deGrom","deGrom","36.43478260869565","23","11100","NYM@SDP","NYM","SDP","","","",""
"20238-52172","P","Noah","Noah Syndergaard","Syndergaard","34","5","10600","NYM@SDP","NYM","SDP","DL","Lat","",""
"20238-12921","P","Chris","Chris Archer","Archer","39.80952380952381","21","10500","TAM@NYY","TAM","NYY","","","Yes",""
"20238-5369","P","Jon","Jon Lester","Lester","32.142857142857146","21","10000","CHC@CWS","CHC","CWS","","","Yes",""
"20238-5522","P","Zack","Zack Greinke","Greinke","38","21","10000","ARI@STL","ARI","STL","","","",""
"20238-60644","P","Luis","Luis Severino","Severino","39.15","20","9600","TAM@NYY","NYY","TAM","","","",""
"20238-53029","P","Robbie","Robbie Ray","Ray","40.89473684210526","19","9500","ARI@STL","ARI","STL","","","",""
"20238-12306","P","Jake","Jake Arrieta","Arrieta","27.166666666666668","24","9400","CHC@CWS","CHC","CWS","","","",""
"20238-39686","P","Carlos","Carlos Martinez","Martinez","37","21","8900","ARI@STL","STL","ARI","","","",""
"20238-52268","P","Masahiro","Masahiro Tanaka","Tanaka","28.8","20","8800","TAM@NYY","NYY","TAM","","","",""
"20238-21099","P","Jose","Jose Quintana","Quintana","32.55","20","8700","CHC@CWS","CHC","CWS","","","",""
"20238-63827","P","Zack","Zack Godley","Godley","32.57142857142857","14","8500","ARI@STL","ARI","STL","","","Yes",""
"20238-79259","P","Jake","Jake Faria","Faria","37","9","8500","TAM@NYY","TAM","NYY","","","",""
"20238-37999","P","Michael","Michael Wacha","Wacha","30.666666666666668","18","8300","ARI@STL","STL","ARI","","","",""
"20238-53398","P","Kyle","Kyle Hendricks","Hendricks","24.846153846153847","13","8300","CHC@CWS","CHC","CWS","","","",""
"20238-13123","P","Alex","Alex Cobb","Cobb","29.857142857142858","21","8100","TAM@NYY","TAM","NYY","","","",""
"20238-5885","P","Jhoulys","Jhoulys Chacin","Chacin","26.130434782608695","23","8000","NYM@SDP","SDP","NYM","","","",""
"20238-5431","P","Adam","Adam Wainwright","Wainwright","24.272727272727273","22","8000","ARI@STL","STL","ARI","DL","Back","",""
"20238-11354","P","Lance","Lance Lynn","Lynn","30.761904761904763","21","7900","ARI@STL","STL","ARI","","","",""
"20238-13664","P","Patrick","Patrick Corbin","Corbin","26.82608695652174","23","7900","ARI@STL","ARI","STL","","","",""
"20238-80433","P","Dinelson","Dinelson Lamet","Lamet","29.7","10","7800","NYM@SDP","SDP","NYM","","","",""
"20238-68662","P","Luis","Luis Perdomo","Perdomo","24.352941176470587","17","7800","NYM@SDP","SDP","NYM","","","Yes",""
"20238-23409","P","Dan","Dan Straily","Straily","28.428571428571427","21","7800","CIN@MIA","MIA","CIN","","","",""
"20238-52174","P","Steven","Steven Matz","Matz","16.818181818181817","11","7800","NYM@SDP","NYM","SDP","","","",""
"20238-5754","P","John","John Lackey","Lackey","24.6","20","7700","CHC@CWS","CHC","CWS","","","",""
"20238-17074","P","Matt","Matt Harvey","Harvey","22.307692307692307","13","7700","NYM@SDP","NYM","SDP","DL","Shoulder","",""
"20238-53607","P","Anthony","Anthony DeSclafani","DeSclafani","33","20","7700","CIN@MIA","CIN","MIA","DL","Elbow","",""
"20238-71034","P","Seth","Seth Lugo","Lugo","26.88888888888889","9","7700","NYM@SDP","NYM","SDP","","","",""
"20238-5547","P","CC","CC Sabathia","Sabathia","28.75","16","7600","TAM@NYY","NYY","TAM","","","Yes",""
"20238-16922","P","Wei-Yin","Wei-Yin Chen","Chen","25.2","5","7500","CIN@MIA","MIA","CIN","DL","Elbow","",""
"20238-16960","P","Zack","Zack Wheeler","Wheeler","21.88888888888889","18","7500","NYM@SDP","NYM","SDP","DL","Arm","",""
"20238-11339","P","Mike","Mike Leake","Leake","27.714285714285715","21","7400","ARI@STL","STL","ARI","","","",""
"20238-17116","P","Jake","Jake Odorizzi","Odorizzi","25.166666666666668","18","7400","TAM@NYY","TAM","NYY","DL","Back","",""
"20238-21097","P","Taijuan","Taijuan Walker","Walker","30.375","16","7300","ARI@STL","ARI","STL","","","",""
"20238-21919","P","Matt","Matt Andriese","Andriese","27.166666666666668","12","7300","TAM@NYY","TAM","NYY","DL","Hip","",""
"20238-79853","P","Jordan","Jordan Montgomery","Montgomery","29.157894736842106","19","7300","TAM@NYY","NYY","TAM","","","",""
"20238-60633","P","Carlos","Carlos Rodon","Rodon","25","5","7200","CHC@CWS","CWS","CHC","","","",""
"20238-38306","P","Adam","Adam Conley","Conley","19.333333333333332","9","7200","CIN@MIA","MIA","CIN","","","",""
"20238-11321","P","Mike","Mike Montgomery","Montgomery","13.428571428571429","28","7100","CHC@CWS","CHC","CWS","","","",""
"20238-6206","P","Edinson","Edinson Volquez","Volquez","25.823529411764707","17","7100","CIN@MIA","MIA","CIN","DL","Knee","",""
"20238-79162","P","Luis","Luis Castillo","Castillo","30.714285714285715","7","7000","CIN@MIA","CIN","MIA","","","",""
"20238-70351","P","Tim","Tim Adleman","Adleman","24.42105263157895","19","6700","CIN@MIA","CIN","MIA","","","",""
"20238-5416","P","Brett","Brett Anderson","Anderson","11.666666666666666","6","6700","CHC@CWS","CHC","CWS","","","",""
"20238-5962","P","Miguel","Miguel Gonzalez","Gonzalez","23.466666666666665","15","6700","CHC@CWS","CWS","CHC","","","",""
"20238-68510","P","Amir","Amir Garrett","Garrett","18.333333333333332","12","6700","CIN@MIA","CIN","MIA","","","",""
"20238-5505","P","Scott","Scott Feldman","Feldman","26.157894736842106","19","6600","CIN@MIA","CIN","MIA","DL","Knee","",""
"20238-68527","P","Jose","Jose De Leon","De Leon","11","1","6600","TAM@NYY","TAM","NYY","DL","Back","",""
"20238-68653","P","Luis","Luis Cessa","Cessa","12.125","8","6500","TAM@NYY","NYY","TAM","","","",""
"20238-53608","P","Jose","Jose Urena","Urena","19.083333333333332","24","6500","CIN@MIA","MIA","CIN","","","",""
"20238-5764","P","Derek","Derek Holland","Holland","23.57894736842105","19","6400","CHC@CWS","CWS","CHC","","","",""
"20238-68488","P","Blake","Blake Snell","Snell","21.333333333333332","12","6400","TAM@NYY","TAM","NYY","","","",""
"20238-68542","P","Robert","Robert Gsellman","Gsellman","15.210526315789474","19","6400","NYM@SDP","NYM","SDP","DL","Hamstring","",""
"20238-5615","P","James","James Shields","Shields","18.7","10","6400","CHC@CWS","CWS","CHC","","","",""
"20238-21652","P","Lisalverto","Lisalverto Bonilla","Bonilla","10.777777777777779","9","6100","CIN@MIA","CIN","MIA","","","",""
"20238-38240","P","Rafael","Rafael Montero","Montero","11.8","20","6100","NYM@SDP","NYM","SDP","","","",""
"20238-15221","P","Tommy","Tommy Milone","Milone","11.333333333333334","9","6100","NYM@SDP","NYM","SDP","DL","Knee","",""
"20238-52154","P","Eddie","Eddie Butler","Butler","16.153846153846153","13","6100","CHC@CWS","CHC","CWS","","","",""
"20238-81490","P","Chris","Chris Flexen","Flexen","0","0","6000","NYM@SDP","NYM","SDP","","","Yes",""
"20238-21600","P","Zach","Zach Lee","Lee","11","3","6000","NYM@SDP","SDP","NYM","","","",""
"20238-5790","P","Homer","Homer Bailey","Bailey","13","7","5900","CIN@MIA","CIN","MIA","","","",""
"20238-68561","P","Luke","Luke Weaver","Weaver","7.5","2","5900","ARI@STL","STL","ARI","","","Yes",""
"20238-5647","P","Jorge","Jorge De La Rosa","De La Rosa","3.9069767441860463","43","5800","ARI@STL","ARI","STL","","","",""
"20238-79825","P","Sal","Sal Romano","Romano","22.75","4","5800","CIN@MIA","CIN","MIA","","","",""
"20238-80476","P","Jackson","Jackson Stephens","Stephens","36","1","5700","CIN@MIA","CIN","MIA","","","",""
"20238-81014","P","Chris","Chris O'Grady","O'Grady","24","3","5700","CIN@MIA","MIA","CIN","","","Yes",""
"20238-39107","P","Justin","Justin Nicolino","Nicolino","11.833333333333334","6","5700","CIN@MIA","MIA","CIN","","","",""
"20238-17118","P","Robbie","Robbie Erlin","Erlin","25","3","5700","NYM@SDP","SDP","NYM","DL","Elbow","",""
"20238-68468","P","Tyler","Tyler Danish","Danish","39","1","5700","CHC@CWS","CWS","CHC","","","",""
"20238-64488","P","Colin","Colin Rea","Rea","21.142857142857142","21","5700","NYM@SDP","SDP","NYM","DL","Elbow","",""
"20238-11340","P","Christian","Christian Friedrich","Friedrich","22.625","24","5600","NYM@SDP","SDP","NYM","DL","Elbow","",""
"20238-21638","P","Jarred","Jarred Cosart","Cosart","11.142857142857142","7","5600","NYM@SDP","SDP","NYM","DL","Elbow","",""
"20238-5796","P","Clayton","Clayton Richard","Richard","23.142857142857142","21","5600","NYM@SDP","SDP","NYM","","","",""
"20238-5097","P","Mike","Mike Pelfrey","Pelfrey","16.72222222222222","18","5600","CHC@CWS","CWS","CHC","","","Yes",""
"20238-79873","P","Dylan","Dylan Covey","Covey","9.625","8","5500","CHC@CWS","CWS","CHC","DL","Oblique","",""
"20238-62983","P","Diego","Diego Moreno","Moreno","5.2","5","5500","TAM@NYY","TAM","NYY","","","",""
"20238-68619","P","Matt","Matt Bowman","Bowman","3.549019607843137","51","5500","ARI@STL","STL","ARI","","","",""
"20238-79895","P","Miguel","Miguel Diaz","Diaz","4.333333333333333","24","5500","NYM@SDP","SDP","NYM","DL","Forearm","",""
"20238-79900","P","Barrett","Barrett Astin","Astin","2","6","5500","CIN@MIA","CIN","MIA","","","",""
"20238-5672","P","Zach","Zach Duke","Duke","-2","2","5500","ARI@STL","STL","ARI","","","",""
"20238-23086","P","Justin","Justin Grimm","Grimm","5.235294117647059","34","5500","CHC@CWS","CHC","CWS","","","",""
"20238-64047","P","Brian","Brian Ellington","Ellington","3.4285714285714284","14","5500","CIN@MIA","MIA","CIN","","","",""
"20238-68654","P","John","John Gant","Gant","13","1","5500","ARI@STL","STL","ARI","","","",""
"20238-12848","P","Hector","Hector Rondon","Rondon","5.261904761904762","42","5500","CHC@CWS","CHC","CWS","","","",""
"20238-71218","P","Dylan","Dylan Floro","Floro","8.666666666666666","3","5500","CHC@CWS","CHC","CWS","","","",""
"20238-6196","P","Koji","Koji Uehara","Uehara","5.108108108108108","37","5500","CHC@CWS","CHC","CWS","","","",""
"20238-5688","P","Jered","Jered Weaver","Weaver","11.88888888888889","9","5500","NYM@SDP","SDP","NYM","DL","Hip","",""
"20238-80446","P","Drew","Drew Steckenrider","Steckenrider","5.2","10","5500","CIN@MIA","MIA","CIN","","","",""
"20238-80455","P","Tyler","Tyler Pill","Pill","12.5","6","5500","NYM@SDP","NYM","SDP","","","",""
"20238-13383","P","Neil","Neil Ramirez","Ramirez","5.206896551724138","29","5500","NYM@SDP","NYM","SDP","","","",""
"20238-38984","P","Jack","Jack Leathersich","Leathersich","-1","1","5500","CHC@CWS","CHC","CWS","","","",""
"20238-80460","P","John","John Brebbia","Brebbia","5.45","20","5500","ARI@STL","STL","ARI","","","",""
"20238-79950","P","Ariel","Ariel Hernandez","Hernandez","8.2","10","5500","CIN@MIA","CIN","MIA","","","",""
"20238-81488","P","Jose","Jose Ruiz","Ruiz","6","1","5500","NYM@SDP","SDP","NYM","","","",""
"20238-5203","P","Fernando","Fernando Rodney","Rodney","4.888888888888889","36","5500","ARI@STL","ARI","STL","","","",""
"20238-81494","P","Kyle","Kyle Lloyd","Lloyd","6","1","5500","NYM@SDP","SDP","NYM","","","",""
"20238-5722","P","Brad","Brad Ziegler","Ziegler","2.3823529411764706","34","5500","CIN@MIA","MIA","CIN","DL","Back","",""
"20238-16986","P","Alex","Alex Colome","Colome","5","43","5500","TAM@NYY","TAM","NYY","","","",""
"20238-5215","P","Brian","Brian Duensing","Duensing","6","40","5500","CHC@CWS","CHC","CWS","","","",""
"20238-16991","P","Jean","Jean Machi","Machi","7.6","5","5500","CHC@CWS","CWS","CHC","","","",""
"20238-5735","P","David","David Robertson","Robertson","7.485714285714286","35","5500","TAM@NYY","NYY","TAM","","","",""
"20238-13415","P","Tom","Tom Koehler","Koehler","13.833333333333334","12","5500","CIN@MIA","MIA","CIN","","","",""
"20238-21096","P","Erasmo","Erasmo Ramirez","Ramirez","11.153846153846153","26","5500","TAM@NYY","TAM","NYY","","","",""
"20238-72809","P","Austin","Austin Brice","Brice","5","19","5500","CIN@MIA","CIN","MIA","","","",""
"20238-17005","P","Chase","Chase Whitley","Whitley","6.103448275862069","29","5500","TAM@NYY","TAM","NYY","","","",""
"20238-73836","P","Juan","Juan Minaya","Minaya","7.933333333333334","15","5500","CHC@CWS","CWS","CHC","","","",""
"20238-6257","P","Pedro","Pedro Strop","Strop","4.955555555555556","45","5500","CHC@CWS","CHC","CWS","","","",""
"20238-17011","P","Jumbo","Jumbo Diaz","Diaz","3.967741935483871","31","5500","TAM@NYY","TAM","NYY","","","",""
"20238-5752","P","Junichi","Junichi Tazawa","Tazawa","3.8275862068965516","29","5500","CIN@MIA","MIA","CIN","","","",""
"20238-12920","P","Randall","Randall Delgado","Delgado","11.5","26","5500","ARI@STL","ARI","STL","DL","Elbow","",""
"20238-17016","P","J.J.","J.J. Hoover","Hoover","4.583333333333333","36","5500","ARI@STL","ARI","STL","","","",""
"20238-52856","P","Jose","Jose Valdez","Valdez","6","8","5500","NYM@SDP","SDP","NYM","","","",""
"20238-17017","P","Sean","Sean Gilmartin","Gilmartin","3.5","2","5500","ARI@STL","STL","ARI","","","",""
"20238-52860","P","Erik","Erik Goeddel","Goeddel","4.583333333333333","12","5500","NYM@SDP","NYM","SDP","","","",""
"20238-73865","P","Jonathan","Jonathan Holder","Holder","5.303030303030303","33","5500","TAM@NYY","NYY","TAM","","","",""
"20238-73866","P","Wandy","Wandy Peralta","Peralta","5.4","45","5500","CIN@MIA","CIN","MIA","","","",""
"20238-17037","P","Trevor","Trevor Rosenthal","Rosenthal","6.357142857142857","42","5500","ARI@STL","STL","ARI","","","",""
"20238-6290","P","Wade","Wade Davis","Davis","6.685714285714286","35","5500","CHC@CWS","CHC","CWS","","","",""
"20238-13458","P","Nate","Nate Jones","Jones","7","11","5500","CHC@CWS","CWS","CHC","DL","Elbow","",""
"20238-73363","P","Felix","Felix Pena","Pena","6.9","10","5500","CHC@CWS","CHC","CWS","","","",""
"20238-73362","P","Rob","Rob Zastryzny","Zastryzny","6","1","5500","CHC@CWS","CHC","CWS","","","",""
"20238-38036","P","T.J.","T.J. McFarland","McFarland","5.96","25","5500","ARI@STL","ARI","STL","","","",""
"20238-73878","P","Matt","Matt Koch","Koch","11.714285714285714","7","5500","ARI@STL","ARI","STL","","","",""
"20238-12442","P","Vance","Vance Worley","Worley","8","13","5500","CIN@MIA","MIA","CIN","","","",""
"20238-81051","P","Caleb","Caleb Smith","Smith","11.5","2","5500","TAM@NYY","NYY","TAM","","","",""
"20238-81052","P","Andrew","Andrew Kittredge","Kittredge","4.333333333333333","3","5500","TAM@NYY","TAM","NYY","","","",""
"20238-80034","P","Jose","Jose Alvarado","Alvarado","2.9047619047619047","21","5500","TAM@NYY","TAM","NYY","","","",""
"20238-39081","P","Chasen","Chasen Shreve","Shreve","5.689655172413793","29","5500","TAM@NYY","NYY","TAM","","","",""
"20238-54445","P","Asher","Asher Wojciechowski","Wojciechowski","14.090909090909092","11","5500","CIN@MIA","CIN","MIA","","","",""
"20238-21679","P","Kevin","Kevin Quackenbush","Quackenbush","3.95","20","5500","NYM@SDP","SDP","NYM","","","",""
"20238-80571","P","Phil","Phil Maton","Maton","5.2","20","5500","NYM@SDP","SDP","NYM","","","",""
"20238-71875","P","Mike","Mike Mayers","Mayers","6","2","5500","ARI@STL","STL","ARI","","","",""
"20238-38083","P","Tyler","Tyler Lyons","Lyons","6.291666666666667","24","5500","ARI@STL","STL","ARI","","","",""
"20238-17100","P","Jeurys","Jeurys Familia","Familia","4.7272727272727275","11","5500","NYM@SDP","NYM","SDP","DL","Shoulder","",""
"20238-17101","P","Josh","Josh Edgin","Edgin","3.272727272727273","44","5500","NYM@SDP","NYM","SDP","","","",""
"20238-54989","P","Odrisamer","Odrisamer Despaigne","Despaigne","7","2","5500","CIN@MIA","MIA","CIN","","","",""
"20238-5843","P","Jerry","Jerry Blevins","Blevins","4.520833333333333","48","5500","NYM@SDP","NYM","SDP","","","",""
"20238-60628","P","Braden","Braden Shipley","Shipley","9.25","4","5500","ARI@STL","ARI","STL","","","",""
"20238-14039","P","Addison","Addison Reed","Reed","5.361702127659575","47","5500","NYM@SDP","NYM","SDP","","","",""
"20238-38106","P","Kirby","Kirby Yates","Yates","6.594594594594595","37","5500","NYM@SDP","SDP","NYM","","","",""
"20238-79066","P","Anthony","Anthony Banda","Banda","20","1","5500","ARI@STL","ARI","STL","","","",""
"20238-14047","P","Brad","Brad Boxberger","Boxberger","6.444444444444445","9","5500","TAM@NYY","TAM","NYY","","","",""
"20238-13031","P","Rubby","Rubby De La Rosa","De La Rosa","5.142857142857143","7","5500","ARI@STL","ARI","STL","","","",""
"20238-38122","P","Jake","Jake Petricka","Petricka","4.888888888888889","9","5500","CHC@CWS","CWS","CHC","","","",""
"20238-17143","P","AJ","AJ Ramos","Ramos","5.564102564102564","39","5500","CIN@MIA","MIA","CIN","","","",""
"20238-17146","P","Kevin","Kevin Siegrist","Siegrist","4.333333333333333","36","5500","ARI@STL","STL","ARI","","","",""
"20238-13564","P","Chaz","Chaz Roe","Roe","1","3","5500","TAM@NYY","TAM","NYY","","","",""
"20238-73980","P","Jose M.","Jose M. Torres","Torres","5.651162790697675","43","5500","NYM@SDP","SDP","NYM","","","",""
"20238-38142","P","Bryan","Bryan Mitchell","Mitchell","5.769230769230769","13","5500","TAM@NYY","NYY","TAM","","","",""
"20238-72971","P","Ben","Ben Heller","Heller","11","2","5500","TAM@NYY","NYY","TAM","","","",""
"20238-13068","P","Danny","Danny Farquhar","Farquhar","4.54054054054054","37","5500","CHC@CWS","CWS","CHC","","","",""
"20238-53523","P","Chris","Chris Beck","Beck","4.1891891891891895","37","5500","CHC@CWS","CWS","CHC","","","",""
"20238-53021","P","Nick","Nick Wittgren","Wittgren","5.473684210526316","38","5500","CIN@MIA","MIA","CIN","","","",""
"20238-21793","P","Carter","Carter Capps","Capps","0","0","5500","NYM@SDP","SDP","NYM","","","",""
"20238-38191","P","Hansel","Hansel Robles","Robles","6.384615384615385","26","5500","NYM@SDP","NYM","SDP","","","",""
"20238-53551","P","Sam","Sam Tuivailala","Tuivailala","6.333333333333333","18","5500","ARI@STL","STL","ARI","","","",""
"20238-38203","P","David","David Holmberg","Holmberg","6.148148148148148","27","5500","CHC@CWS","CWS","CHC","","","",""
"20238-13116","P","Jeff","Jeff Locke","Locke","12.428571428571429","7","5500","CIN@MIA","MIA","CIN","","","",""
"20238-13635","P","Brad","Brad Hand","Hand","7.085106382978723","47","5500","NYM@SDP","SDP","NYM","","","",""
"20238-13637","P","Dan","Dan Jennings","Jennings","4.458333333333333","48","5500","CHC@CWS","CWS","CHC","","","",""
"20238-38217","P","Tommy","Tommy Kahnle","Kahnle","7.121951219512195","41","5500","TAM@NYY","NYY","TAM","","","",""
"20238-11108","P","Aroldis","Aroldis Chapman","Chapman","5.866666666666666","30","5500","TAM@NYY","NYY","TAM","","","",""
"20238-68458","P","Seung Hwan","Seung Hwan Oh","Oh","4.953488372093023","43","5500","ARI@STL","STL","ARI","","","",""
"20238-70517","P","Chad","Chad Green","Green","12.181818181818182","22","5500","TAM@NYY","NYY","TAM","","","",""
"20238-23926","P","Tony","Tony Cingrani","Cingrani","3.7916666666666665","24","5500","CIN@MIA","CIN","MIA","","","",""
"20238-11132","P","Travis","Travis Wood","Wood","4.357142857142857","28","5500","NYM@SDP","SDP","NYM","","","",""
"20238-13183","P","Dellin","Dellin Betances","Betances","7.230769230769231","39","5500","TAM@NYY","NYY","TAM","","","",""
"20238-13184","P","Adam","Adam Warren","Warren","6.909090909090909","33","5500","TAM@NYY","NYY","TAM","","","",""
"20238-15242","P","Xavier","Xavier Cedeno","Cedeno","1.4285714285714286","7","5500","TAM@NYY","TAM","NYY","DL","Forearm","",""
"20238-80786","P","Ronald","Ronald Herrera","Herrera","6","2","5500","TAM@NYY","NYY","TAM","","","",""
"20238-12180","P","Blake","Blake Wood","Wood","5.238095238095238","42","5500","CIN@MIA","CIN","MIA","","","",""
"20238-79258","P","Ryne","Ryne Stanek","Stanek","4","11","5500","TAM@NYY","TAM","NYY","","","",""
"20238-38303","P","Andrew","Andrew Chafin","Chafin","4.666666666666667","45","5500","ARI@STL","ARI","STL","","","",""
